Time,Q1,Q2,T1,T2
4519.566462,50,0,62.79,0
4520.567191,50,0,62.79,0
4521.567885,50,0,62.79,0
4522.56819,50,0,62.79,0
4523.572047,50,0,62.76,0
4524.573416,50,0,62.76,0
4525.575305,50,0,62.57,0
4526.575898,50,0,62.5,0
4527.576034,50,0,62.54,0
4528.576069,50,0,62.57,0
4529.577021,50,0,62.5,0
4530.577652,50,0,62.47,0
4531.578246,50,0,62.47,0
4532.579824,50,0,62.47,0
4533.580511,50,0,62.47,0
4534.581212,50,0,62.47,0
4535.582262,50,0,62.47,0
4536.582305,50,0,62.47,0
4537.583394,50,0,62.47,0
4538.583986,50,0,62.47,0
4539.584931,50,0,62.47,0
4540.585835,50,0,62.47,0
4541.586344,50,0,62.47,0
4542.586941,50,0,62.37,0
4543.588416,50,0,62.28,0
4544.589924,50,0,62.34,0
4545.59034,50,0,62.28,0
4546.590705,50,0,62.25,0
4547.591719,50,0,62.25,0
4548.591822,50,0,62.18,0
4549.591888,50,0,62.21,0
4550.59196,50,0,62.18,0
4551.601645,50,0,62.18,0
4552.602336,50,0,62.18,0
4553.603862,50,0,62.15,0
4554.604409,50,0,62.15,0
4555.605151,50,0,62.15,0
4556.605501,50,0,62.15,0
4557.606099,50,0,62.15,0
4558.607377,50,0,62.15,0
4559.608122,50,0,62.15,0
4560.608178,50,0,62.15,0
4561.608659,50,0,62.15,0
4562.608737,50,0,62.15,0
4563.609775,50,0,62.15,0
4564.621849,50,0,62.15,0
4565.622749,50,0,62.15,0
4566.623016,50,0,62.12,0
4567.622935,50,0,62.15,0
4568.623228,50,0,62.15,0
4569.625355,50,0,62.15,0
4570.625849,50,0,62.15,0
4571.626679,50,0,62.12,0
4572.626875,50,0,62.15,0
4573.627774,50,0,62.15,0
4574.628514,50,0,62.15,0
4575.628806,50,0,62.15,0
4576.629765,2,0,62.15,0
4577.629827,2,0,62.12,0
4578.630575,2,0,62.15,0
4579.630864,2,0,62.08,0
4580.63114,2,0,62.08,0
4581.631529,2,0,61.99,0
4582.633452,2,0,61.83,0
4583.63455,2,0,61.83,0
4584.635428,2,0,61.83,0
4585.635888,2,0,61.83,0
4586.637348,2,0,61.83,0
4587.637606,2,0,61.83,0
4588.639169,2,0,61.83,0
4589.640196,2,0,61.76,0
4590.641093,2,0,61.5,0
4591.64211,2,0,61.5,0
4592.642212,2,0,61.5,0
4593.643779,2,0,61.38,0
4594.644275,2,0,61.18,0
4595.645097,2,0,61.18,0
4596.645691,2,0,61.12,0
4597.646416,2,0,60.86,0
4598.646917,2,0,60.86,0
4599.646991,2,0,60.79,0
4600.647916,2,0,60.54,0
4601.648747,2,0,60.54,0
4602.649593,2,0,60.34,0
4603.649652,2,0,60.21,0
4604.649998,2,0,60.18,0
